Category	Metric	Value
filtered_out_genes	GENE436	SIGNIFICANCE_FILTER
filtered_out_genes	GENE437	SIGNIFICANCE_FILTER
filtered_out_genes	GENE438	SIGNIFICANCE_FILTER
filtered_out_genes	GENE439	SIGNIFICANCE_FILTER
filtered_out_genes	GENE440	SIGNIFICANCE_FILTER
filtered_out_genes	GENE441	SIGNIFICANCE_FILTER
filtered_out_genes	GENE443	SIGNIFICANCE_FILTER
filtered_out_genes	GENE444	SIGNIFICANCE_FILTER
filtered_out_genes	GENE445	SIGNIFICANCE_FILTER
filtered_out_genes	GENE446	SIGNIFICANCE_FILTER
filtered_out_genes	GENE450	SIGNIFICANCE_FILTER
filtered_out_genes	GENE451	SIGNIFICANCE_FILTER
filtered_out_genes	GENE452	SIGNIFICANCE_FILTER
filtered_out_genes	GENE453	SIGNIFICANCE_FILTER
filtered_out_genes	GENE456	SIGNIFICANCE_FILTER
filtered_out_genes	GENE457	SIGNIFICANCE_FILTER
filtered_out_genes	GENE460	SIGNIFICANCE_FILTER
filtered_out_genes	GENE463	SIGNIFICANCE_FILTER
filtered_out_genes	GENE464	SIGNIFICANCE_FILTER
filtered_out_genes	GENE465	SIGNIFICANCE_FILTER
filtered_out_genes	GENE467	SIGNIFICANCE_FILTER
filtered_out_genes	GENE468	SIGNIFICANCE_FILTER
filtered_out_genes	GENE469	SIGNIFICANCE_FILTER
filtered_out_genes	GENE472	SIGNIFICANCE_FILTER
filtered_out_genes	GENE473	SIGNIFICANCE_FILTER
filtered_out_genes	GENE475	SIGNIFICANCE_FILTER
filtered_out_genes	GENE476	SIGNIFICANCE_FILTER
filtered_out_genes	GENE477	SIGNIFICANCE_FILTER
filtered_out_genes	GENE478	SIGNIFICANCE_FILTER
filtered_out_genes	GENE479	SIGNIFICANCE_FILTER
filtered_out_genes	GENE481	SIGNIFICANCE_FILTER
filtered_out_genes	GENE482	SIGNIFICANCE_FILTER
filtered_out_genes	GENE483	SIGNIFICANCE_FILTER
filtered_out_genes	GENE484	SIGNIFICANCE_FILTER
filtered_out_genes	GENE485	SIGNIFICANCE_FILTER
filtered_out_genes	GENE486	SIGNIFICANCE_FILTER
filtered_out_genes	GENE488	SIGNIFICANCE_FILTER
filtered_out_genes	GENE489	SIGNIFICANCE_FILTER
filtered_out_genes	GENE490	SIGNIFICANCE_FILTER
filtered_out_genes	GENE491	SIGNIFICANCE_FILTER
filtered_out_genes	GENE492	SIGNIFICANCE_FILTER
filtered_out_genes	GENE493	SIGNIFICANCE_FILTER
filtered_out_genes	GENE495	SIGNIFICANCE_FILTER
filtered_out_genes	GENE496	SIGNIFICANCE_FILTER
filtered_out_genes	GENE497	SIGNIFICANCE_FILTER
